,campfilename,month,year,camppopulation,campcapacity,overcapacity,adultmales,adutfemales,children,monthyear,cmy
86,XXDoliana_GRE_007,6,2017,11,150,0,0.09,0.09,0.82,62017,XXDoliana_GRE_007062017
87,XXFilipiada_GRE_019,6,2017,229,244,0,0.28,0.22,0.5,62017,XXFilipiada_GRE_019062017
88,XXKonitsa_GRE_026,6,2017,79,110,0,0.24,0.24,0.52,62017,XXKonitsa_GRE_026062017
89,Koutsochero_GRE_028,6,2017,1014,1054,0,0.29,0.23,0.48,62017,Koutsochero_GRE_028062017
90,Lavrio-New_GRE_030,6,2017,250,350,0,0.3,0.27,0.43,62017,Lavrio-New_GRE_030062017
91,Nea-Kavala_GRE_034,6,2017,425,529,0,0.45,0.25,0.3,62017,Nea-Kavala_GRE_034062017
92,Volos_GRE_055,6,2017,104,120,0,0.23,0.2,0.57,62017,Volos_GRE_055062017
93,Vathi-Samos_GRE_053,6,2017,1160,,1,0.58,0.17,0.25,62017,Vathi-Samos_GRE_053062017
94,Rafina_GRE_039,6,2017,99,120,0,0.04,0.28,0.68,62017,Rafina_GRE_039062017
96,XXTrikala_GRE_048,6,2017,170,,1,0.38,0.23,0.39,62017,XXTrikala_GRE_048062017
97,XXSoftex_GRE_045,6,2017,310,394,0,0.7,0.1,0.2,62017,XXSoftex_GRE_045062017
98,Veria_GRE_054,6,2017,182,234,0,0.38,0.22,0.4,62017,Veria_GRE_054062017
99,XXVial-Chios-NRC_GRE_066,6,2017,953,,1,0.52,0.18,0.3,62017,XXVial-Chios-NRC_GRE_066062017
100,Lagkadikia_GRE_029,6,2017,169,194,0,0.4,0.2,0.4,62017,Lagkadikia_GRE_029062017
101,Skaramangas_GRE_014,6,2017,2485,2685,0,0.29,0.23,0.48,62017,Skaramangas_GRE_014062017
102,Alexandria-Ref_GRE_003,4,2016,816,1200,0,0.28,0.31,0.41,42016,Alexandria-Ref_GRE_003042016
103,Andravida_GRE_004,4,2016,350,300,1,0.19,0.19,0.62,42016,Andravida_GRE_004042016
104,XXCherso_GRE_005,4,2016,3987,2500,1,0.32,0.26,0.42,42016,XXCherso_GRE_005042016
105,XXDerveni-Alexil_GRE_007,4,2016,711,800,0,0.4,0.21,0.39,42016,XXDerveni-Alexil_GRE_007042016
106,Diavata_GRE_008,4,2016,2320,2500,0,,,0.45,42016,Diavata_GRE_008042016
107,XXDoliana_GRE_007,4,2016,207,400,0,0.25,0.25,0.5,42016,XXDoliana_GRE_007042016
108,Drama_GRE_011,4,2016,479,550,0,0.35,0.35,0.3,42016,Drama_GRE_011042016
109,Eleonas_GRE_013,4,2016,1502,1500,1,0.27,0.4,0.33,42016,Eleonas_GRE_013042016
110,XXElliniko-Hocky_GRE_016,4,2016,1850,1400,1,0.4,0.35,0.25,42016,XXElliniko-Hocky_GRE_016042016
111,XXFilipiada_GRE_019,4,2016,660,700,0,0.25,0.25,0.5,42016,XXFilipiada_GRE_019042016
112,XXKonitsa_GRE_026,4,2016,162,150,1,0.3,0.3,0.4,42016,XXKonitsa_GRE_026042016
113,Koutsochero_GRE_028,4,2016,809,1500,0,0.23,0.22,0.55,42016,Koutsochero_GRE_028042016
114,Lagkadikia_GRE_029,4,2016,845,,,0.3,0.23,0.47,42016,Lagkadikia_GRE_029042016
115,Lavrio-New_GRE_030,4,2016,395,400,0,0.28,0.24,0.48,42016,Lavrio-New_GRE_030042016
116,XXMalakasa-MC_GRE_012,4,2016,1299,150,1,0.38,0.22,0.4,42016,XXMalakasa-MC_GRE_012042016
117,XXOlympic-Stadium_GRE_035,4,2016,1531,1300,1,0.4,0.35,0.25,42016,XXOlympic-Stadium_GRE_035042016
118,Ritsona_GRE_040,4,2016,800,1000,0,0.38,0.22,0.4,42016,Ritsona_GRE_040042016
119,XXSindos-Frakapore_GRE_043,4,2016,572,550,1,0.15,0.25,0.6,42016,XXSindos-Frakapore_GRE_043042016
120,Skaramangas_GRE_014,4,2016,1642,1600,1,0.38,0.22,0.4,42016,Skaramangas_GRE_014042016
121,XXSoftex_GRE_045,4,2016,1137,1000,1,0.3,0.2,0.5,42016,XXSoftex_GRE_045042016
122,Veria_GRE_054,4,2016,400,403,0,0.29,0.26,0.45,42016,Veria_GRE_054042016
123,Volos_GRE_055,4,2016,203,200,1,0.2,0.3,0.5,42016,Volos_GRE_055042016
124,Nea-Kavala_GRE_034,4,2016,3980,2500,1,0.3,0.24,0.46,42016,Nea-Kavala_GRE_034042016
125,Alexandria-Ref_GRE_003,10,2016,447,1200,0,0.31,0.32,0.37,102016,Alexandria-Ref_GRE_003102016
126,Andravida_GRE_004,10,2016,209,300,0,0.19,0.15,0.66,102016,Andravida_GRE_004102016
127,XXCherso_GRE_005,10,2016,1077,4000,0,0.28,0.24,0.48,102016,XXCherso_GRE_005102016
128,XXDerveni-Alexil_GRE_007,10,2016,680,850,0,0.26,0.25,0.49,102016,XXDerveni-Alexil_GRE_007102016
129,Diavata_GRE_008,10,2016,672,2500,0,0.3,0.2,0.5,102016,Diavata_GRE_008102016
130,XXDoliana_GRE_007,10,2016,145,400,0,0.22,0.22,0.56,102016,XXDoliana_GRE_007102016
131,Drama_GRE_011,10,2016,200,550,0,0.2,0.3,0.5,102016,Drama_GRE_011102016
132,Eleonas_GRE_013,10,2016,2183,2500,0,0.32,0.38,0.3,102016,Eleonas_GRE_013102016
133,XXElliniko-Hocky_GRE_016,10,2016,893,1400,0,0.4,0.35,0.25,102016,XXElliniko-Hocky_GRE_016102016
134,XXFilipiada_GRE_019,10,2016,233,700,0,0.25,0.23,0.52,102016,XXFilipiada_GRE_019102016
135,XXIliadi_GRE_020,10,2016,487,500,0,0.24,0.23,0.53,102016,XXIliadi_GRE_020102016
136,Kavala_GRE_024,10,2016,107,270,0,0.25,0.3,0.45,102016,Kavala_GRE_024102016
137,XXKonitsa_GRE_026,10,2016,150,200,0,0.24,0.23,0.53,102016,XXKonitsa_GRE_026102016
138,Kos_GRE_027,10,2016,1965,1000,1,0.87,0.03,0.1,102016,Kos_GRE_027102016
139,Lagkadikia_GRE_029,10,2016,605,660,0,0.23,0.19,0.58,102016,Lagkadikia_GRE_029102016
140,Lavrio-New_GRE_030,10,2016,320,400,0,0.3,0.27,0.43,102016,Lavrio-New_GRE_030102016
141,Leros-Lepida_GRE_032,10,2016,796,1000,0,0.43,0.23,0.34,102016,Leros-Lepida_GRE_032102016
142,XXMalakasa-MC_GRE_012,10,2016,880,1500,0,0.4,0.27,0.33,102016,XXMalakasa-MC_GRE_012102016
143,Moria_GRE_001,10,2016,6013,3500,1,0.42,0.21,0.37,102016,Moria_GRE_001102016
144,Nea-Kavala_GRE_034,10,2016,1275,4200,0,0.27,0.24,0.49,102016,Nea-Kavala_GRE_034102016
145,XXOlympic-Stadium_GRE_035,10,2016,697,1400,0,0.4,0.35,0.25,102016,XXOlympic-Stadium_GRE_035102016
146,Rafina_GRE_039,10,2016,113,120,0,0,0.3,,102016,Rafina_GRE_039102016
147,Ritsona_GRE_040,10,2016,570,1000,0,0.3,0.3,0.4,102016,Ritsona_GRE_040102016
148,Serres_GRE_042,10,2016,482,600,0,0.26,0.26,0.48,102016,Serres_GRE_042102016
149,XXSindos-Frakapore_GRE_043,10,2016,500,600,0,0.42,0.21,0.37,102016,XXSindos-Frakapore_GRE_043102016
150,Skaramangas_GRE_014,10,2016,3396,3200,1,0.3,0.3,0.4,102016,Skaramangas_GRE_014102016
151,XXSoftex_GRE_045,10,2016,1574,1900,0,0.42,0.21,0.37,102016,XXSoftex_GRE_045102016
152,XXSouda-Samns-Purse_GRE_046,10,2016,4191,1100,1,0.5,0.2,0.3,102016,XXSouda-Samns-Purse_GRE_046102016
153,XXTrikala_GRE_048,10,2016,265,360,0,0.25,0.32,0.43,102016,XXTrikala_GRE_048102016
154,Vathi-Samos_GRE_053,10,2016,2600,850,1,0.46,0.23,0.31,102016,Vathi-Samos_GRE_053102016
155,Veria_GRE_054,10,2016,338,400,0,0.25,0.23,0.52,102016,Veria_GRE_054102016
156,XXVial-Chios-NRC_GRE_066,10,2016,4191,1100,1,0.39,0.2,0.41,102016,XXVial-Chios-NRC_GRE_066102016
157,Alexandria-Ref_GRE_003,3,2018,287,289,0,0.42,0.21,0.37,32018,Alexandria-Ref_GRE_003032018
158,Andravida_GRE_004,3,2018,201,,1,0.26,0.22,0.52,32018,Andravida_GRE_004032018
159,Diavata_GRE_008,3,2018,722,,1,0.37,0.14,0.49,32018,Diavata_GRE_008032018
160,XXDoliana_GRE_007,3,2018,105,,1,0.35,0.25,0.4,32018,XXDoliana_GRE_007032018
161,Drama_GRE_011,3,2018,268,286,0,0.23,0.2,0.57,32018,Drama_GRE_011032018
162,Eleonas_GRE_013,3,2018,1519,,1,0.42,0.2,0.38,32018,Eleonas_GRE_013032018
164,Kato-Milia_GRE_061,3,2018,287,302,0,0.4,0.25,0.35,32018,Kato-Milia_GRE_061032018
165,Kavala_GRE_024,3,2018,347,353,0,0.22,0.21,0.57,32018,Kavala_GRE_024032018
166,XXKonitsa_GRE_026,3,2018,71,,1,0.26,0.2,0.54,32018,XXKonitsa_GRE_026032018
167,Koutsochero_GRE_028,3,2018,682,830,0,0.42,0.24,0.34,32018,Koutsochero_GRE_028032018
168,Lagkadikia_GRE_029,3,2018,360,,1,0.43,0.21,0.36,32018,Lagkadikia_GRE_029032018
169,Lavrio-New_GRE_030,3,2018,219,229,0,0.43,0.25,0.32,32018,Lavrio-New_GRE_030032018
170,Leros-Lepida_GRE_032,3,2018,409,800,0,0.58,0.2,0.22,32018,Leros-Lepida_GRE_032032018
171,XXMalakasa-MC_GRE_012,3,2018,733,,1,0.54,0.16,0.3,32018,XXMalakasa-MC_GRE_012032018
172,Moria_GRE_001,3,2018,5465,,1,0.52,0.21,0.27,32018,Moria_GRE_001032018
173,Nea-Kavala_GRE_034,3,2018,359,435,0,0.69,0.19,0.12,32018,Nea-Kavala_GRE_034032018
174,Ritsona_GRE_040,3,2018,581,821,0,0.35,0.21,0.44,32018,Ritsona_GRE_040032018
175,Serres_GRE_042,3,2018,442,,1,0.54,0.16,0.3,32018,Serres_GRE_042032018
176,Skaramangas_GRE_014,3,2018,2503,,1,0.3,0.24,0.46,32018,Skaramangas_GRE_014032018
177,Vathi-Samos_GRE_053,3,2018,1386,,1,0.55,0.2,0.25,32018,Vathi-Samos_GRE_053032018
178,Veria_GRE_054,3,2018,232,238,0,0.16,0.16,0.68,32018,Veria_GRE_054032018
180,Alexandria-Ref_GRE_003,7,2018,657,,1,0.44,0.25,0.31,72018,Alexandria-Ref_GRE_003072018
181,Andravida_GRE_004,7,2018,232,,1,0.28,0.23,0.49,72018,Andravida_GRE_004072018
182,Diavata_GRE_008,7,2018,1497,,1,0.25,0.2,0.55,72018,Diavata_GRE_008072018
184,Drama_GRE_011,7,2018,323,341,0,0.29,0.2,0.51,72018,Drama_GRE_011072018
185,Eleonas_GRE_013,7,2018,1519,,1,0.42,0.2,0.38,72018,Eleonas_GRE_013072018
187,Kato-Milia_GRE_061,7,2018,323,,1,0.45,0.2,0.35,72018,Kato-Milia_GRE_061072018
188,Kavala_GRE_024,7,2018,777,817,0,0.47,0.2,0.33,72018,Kavala_GRE_024072018
190,Kos_GRE_027,7,2018,970,,1,0.46,0.18,0.36,72018,Kos_GRE_027072018
191,Koutsochero_GRE_028,7,2018,1045,,1,0.4,0.28,0.32,72018,Koutsochero_GRE_028072018
192,Lagkadikia_GRE_029,7,2018,391,,1,0.44,0.2,0.36,72018,Lagkadikia_GRE_029072018
193,Lavrio-New_GRE_030,7,2018,250,254,0,0.46,0.24,0.3,72018,Lavrio-New_GRE_030072018
194,Leros-Lepida_GRE_032,7,2018,668,800,0,0.51,0.21,0.28,72018,Leros-Lepida_GRE_032072018
196,Moria_GRE_001,7,2018,6000,,1,0.52,0.21,0.27,72018,Moria_GRE_001072018
197,Nea-Kavala_GRE_034,7,2018,777,817,0,0.47,0.2,0.33,72018,Nea-Kavala_GRE_034072018
198,XXPikpa-Leros_GRE_038,7,2018,79,110,0,0.26,0.26,0.48,72018,XXPikpa-Leros_GRE_038072018
199,Ritsona_GRE_040,7,2018,857,865,0,0.42,0.2,0.38,72018,Ritsona_GRE_040072018
200,Serres_GRE_042,7,2018,590,NaN ,1,0.27,0.27,0.46,72018,Serres_GRE_042072018
201,Skaramangas_GRE_014,7,2018,2503,NaN ,1,0.3,0.24,0.46,72018,Skaramangas_GRE_014072018
202,Vathi-Samos_GRE_053,7,2018,2606,NaN ,1,0.49,0.23,0.28,72018,Vathi-Samos_GRE_053072018
203,Veria_GRE_054,7,2018,292,312,0,0.35,0.26,0.39,72018,Veria_GRE_054072018
205,Volos_GRE_055,7,2018,146,,1,0.31,0.21,0.48,72018,Volos_GRE_055072018
207,Alexandria-Ref_GRE_003,4,2018,434,,1,0.38,0.23,0.39,42018,Alexandria-Ref_GRE_003042018
208,Andravida_GRE_004,4,2018,216,,1,0.29,0.22,0.49,42018,Andravida_GRE_004042018
209,Diavata_GRE_008,4,2018,722,,1,0.37,0.14,0.49,42018,Diavata_GRE_008042018
210,XXDoliana_GRE_007,4,2018,105,,1,0.35,0.25,0.4,42018,XXDoliana_GRE_007042018
211,Drama_GRE_011,4,2018,283,289,0,0.32,0.18,0.5,42018,Drama_GRE_011042018
212,Eleonas_GRE_013,4,2018,1478,,1,0.42,0.2,0.38,42018,Eleonas_GRE_013042018
214,Kato-Milia_GRE_061,4,2018,303,,1,0.48,0.2,0.32,42018,Kato-Milia_GRE_061042018
215,Kavala_GRE_024,4,2018,396,402,0,0.26,0.21,0.53,42018,Kavala_GRE_024042018
216,Kos_GRE_027,4,2018,930,,1,0.47,0.18,0.35,42018,Kos_GRE_027042018
218,Koutsochero_GRE_028,4,2018,682,830,0,0.42,0.24,0.34,42018,Koutsochero_GRE_028042018
219,Lagkadikia_GRE_029,4,2018,363,,1,0.42,0.21,0.37,42018,Lagkadikia_GRE_029042018
220,Lavrio-New_GRE_030,4,2018,226,,1,0.4,0.27,0.33,42018,Lavrio-New_GRE_030042018
221,Leros-Lepida_GRE_032,4,2018,446,800,0,0.6,0.2,0.2,42018,Leros-Lepida_GRE_032042018
222,XXMalakasa-MC_GRE_012,4,2018,712,736,0,0.55,0.15,0.3,42018,XXMalakasa-MC_GRE_012042018
223,Moria_GRE_001,4,2018,5465,,1,0.52,0.21,0.27,42018,Moria_GRE_001042018
224,Nea-Kavala_GRE_034,4,2018,423,,1,0.69,0.17,0.14,42018,Nea-Kavala_GRE_034042018
226,Ritsona_GRE_040,4,2018,807,,1,0.39,0.21,0.4,42018,Ritsona_GRE_040042018
227,Serres_GRE_042,4,2018,451,,1,0.27,0.28,0.45,42018,Serres_GRE_042042018
228,Skaramangas_GRE_014,4,2018,2503,,1,0.3,0.24,0.46,42018,Skaramangas_GRE_014042018
229,Vathi-Samos_GRE_053,4,2018,1937,,1,0.49,0.21,0.3,42018,Vathi-Samos_GRE_053042018
230,Veria_GRE_054,4,2018,238,,1,0.34,0.26,0.4,42018,Veria_GRE_054042018
231,Alexandria-Ref_GRE_003,5,2018,638,,1,0.44,0.24,0.32,52018,Alexandria-Ref_GRE_003052018
232,Andravida_GRE_004,5,2018,242,,1,0.29,0.23,0.48,52018,Andravida_GRE_004052018
233,Diavata_GRE_008,5,2018,712,,1,0.31,0.32,0.37,52018,Diavata_GRE_008052018
234,XXDoliana_GRE_007,5,2018,85,91,0,0.35,0.25,0.4,52018,XXDoliana_GRE_007052018
235,Drama_GRE_011,5,2018,318,,1,0.3,0.18,0.52,52018,Drama_GRE_011052018
236,Eleonas_GRE_013,5,2018,1519,,1,0.42,0.2,0.38,52018,Eleonas_GRE_013052018
238,Kavala_GRE_024,5,2018,403,445,0,0.26,0.24,0.5,52018,Kavala_GRE_024052018
239,Kato-Milia_GRE_061,5,2018,320,,1,0.46,0.2,0.34,52018,Kato-Milia_GRE_061052018
240,XXKonitsa_GRE_026,5,2018,62,72,0,0.26,0.2,0.54,52018,XXKonitsa_GRE_026052018
241,Kos_GRE_027,5,2018,900,,1,0.46,0.18,0.36,52018,Kos_GRE_027052018
242,Koutsochero_GRE_028,5,2018,951,999,1,0.48,0.22,0.3,52018,Koutsochero_GRE_028052018
243,Lagkadikia_GRE_029,5,2018,397,,1,0.44,0.2,0.36,52018,Lagkadikia_GRE_029052018
244,Lavrio-New_GRE_030,5,2018,243,,1,0.42,0.25,0.33,52018,Lavrio-New_GRE_030052018
245,Leros-Lepida_GRE_032,5,2018,674,797,0,0.5,0.21,0.29,52018,Leros-Lepida_GRE_032052018
247,Moria_GRE_001,5,2018,6000,,1,0.53,0.2,0.27,52018,Moria_GRE_001052018
248,Nea-Kavala_GRE_034,5,2018,424,,1,0.7,0.17,0.13,52018,Nea-Kavala_GRE_034052018
250,Ritsona_GRE_040,5,2018,867,,1,0.38,0.22,0.4,52018,Ritsona_GRE_040052018
251,Serres_GRE_042,5,2018,453,470,1,0.27,0.28,0.45,52018,Serres_GRE_042052018
252,Skaramangas_GRE_014,5,2018,2503,,1,0.3,0.24,0.46,52018,Skaramangas_GRE_014052018
253,Vathi-Samos_GRE_053,5,2018,1921,,1,0.48,0.21,0.31,52018,Vathi-Samos_GRE_053052018
254,Veria_GRE_054,5,2018,234,240,0,0.35,0.26,0.39,52018,Veria_GRE_054052018
256,Volos_GRE_055,5,2018,148,,1,0.29,0.27,0.44,52018,Volos_GRE_055052018
257,Alexandria-Ref_GRE_003,6,2018,655,,1,0.44,0.24,0.32,62018,Alexandria-Ref_GRE_003062018
258,Andravida_GRE_004,6,2018,242,,1,0.29,0.23,0.48,62018,Andravida_GRE_004062018
259,Diavata_GRE_008,6,2018,1497,,1,0.25,0.2,0.55,62018,Diavata_GRE_008062018
261,Drama_GRE_011,6,2018,345,,1,0.31,0.21,0.48,62018,Drama_GRE_011062018
262,Eleonas_GRE_013,6,2018,1519,,1,0.42,0.2,0.38,62018,Eleonas_GRE_013062018
264,Kato-Milia_GRE_061,6,2018,314,,1,0.46,0.19,0.35,62018,Kato-Milia_GRE_061062018
266,Kavala_GRE_024,6,2018,439,,1,0.29,0.22,0.49,62018,Kavala_GRE_024062018
267,Kos_GRE_027,6,2018,880,,1,0.47,0.19,0.34,62018,Kos_GRE_027062018
268,Koutsochero_GRE_028,6,2018,874,,1,0.35,0.28,0.37,62018,Koutsochero_GRE_028062018
