,campfilename,monthyear,appcat,totalusagekb,usageperc,cmy
139,Alexandria-Ref_GRE_003,32018,VoIP & video conferencing,360160,0,Alexandria-Ref_GRE_003032018
140,Alexandria-Ref_GRE_003,32018,Blogging,236264,0,Alexandria-Ref_GRE_003032018
141,Alexandria-Ref_GRE_003,32018,Gaming,127946,0,Alexandria-Ref_GRE_003032018
142,Alexandria-Ref_GRE_003,32018,P2P,113471,0,Alexandria-Ref_GRE_003032018
143,Alexandria-Ref_GRE_003,32018,News,107128,0,Alexandria-Ref_GRE_003032018
144,Alexandria-Ref_GRE_003,32018,Security,89631,0,Alexandria-Ref_GRE_003032018
145,Alexandria-Ref_GRE_003,32018,Photo sharing,87485,0,Alexandria-Ref_GRE_003032018
146,Alexandria-Ref_GRE_003,32018,Remote monitoring & management,17579,0,Alexandria-Ref_GRE_003032018
147,Alexandria-Ref_GRE_003,32018,Sports,1943,0,Alexandria-Ref_GRE_003032018
148,Alexandria-Ref_GRE_003,32018,Cloud services,173,0,Alexandria-Ref_GRE_003032018
149,Alexandria-Ref_GRE_003,32018,Business management,28,0,Alexandria-Ref_GRE_003032018
150,Alexandria-Ref_GRE_003,42016,Other,49257533,75,Alexandria-Ref_GRE_003042016
151,Alexandria-Ref_GRE_003,42016,Social web,14900790,22,Alexandria-Ref_GRE_003042016
152,Alexandria-Ref_GRE_003,42016,Video,655540,1,Alexandria-Ref_GRE_003042016
153,Alexandria-Ref_GRE_003,42016,VoIP & video conferencing,124523,0,Alexandria-Ref_GRE_003042016
154,Alexandria-Ref_GRE_003,42016,Blogging,55576,0,Alexandria-Ref_GRE_003042016
155,Alexandria-Ref_GRE_003,42016,Email,53553,0,Alexandria-Ref_GRE_003042016
156,Alexandria-Ref_GRE_003,42016,Music,50415,0,Alexandria-Ref_GRE_003042016
157,Alexandria-Ref_GRE_003,42016,Photo sharing,8226,0,Alexandria-Ref_GRE_003042016
158,Alexandria-Ref_GRE_003,42016,News,7302,0,Alexandria-Ref_GRE_003042016
159,Alexandria-Ref_GRE_003,42016,P2P,7261,0,Alexandria-Ref_GRE_003042016
160,Alexandria-Ref_GRE_003,42016,File sharing,4766,0,Alexandria-Ref_GRE_003042016
161,Alexandria-Ref_GRE_003,42016,Gaming,335,0,Alexandria-Ref_GRE_003042016
162,Alexandria-Ref_GRE_003,42016,Software & anti-virus updates,238,0,Alexandria-Ref_GRE_003042016
163,Alexandria-Ref_GRE_003,42016,Sports,17,0,Alexandria-Ref_GRE_003042016
